epoch	train_loss	train_acc	test_loss	test_acc	width	lr	nonlin	criterion	parametrization
3	1.352787	0.526000	1.550946	0.469500	2048	0.031250	relu	xent	sp
4	1.257807	0.556220	1.481212	0.497300	2048	0.031250	relu	xent	sp
5	1.168276	0.591820	1.488195	0.507300	2048	0.031250	relu	xent	sp
6	1.080303	0.624200	1.531106	0.497300	2048	0.031250	relu	xent	sp
7	1.002639	0.648980	1.614598	0.515200	2048	0.031250	relu	xent	sp
8	0.925155	0.679620	1.651542	0.493100	2048	0.031250	relu	xent	sp
9	0.865602	0.701800	1.686735	0.518300	2048	0.031250	relu	xent	sp
10	0.808500	0.723860	1.839809	0.508300	2048	0.031250	relu	xent	sp
11	0.755610	0.744700	1.978883	0.511900	2048	0.031250	relu	xent	sp
12	0.720637	0.757900	1.998487	0.515100	2048	0.031250	relu	xent	sp
13	0.673637	0.775900	2.137534	0.515600	2048	0.031250	relu	xent	sp
14	0.639403	0.789600	2.282284	0.493600	2048	0.031250	relu	xent	sp
15	0.631930	0.794860	2.288388	0.500200	2048	0.031250	relu	xent	sp
16	0.606630	0.804640	2.431564	0.507100	2048	0.031250	relu	xent	sp
17	0.618526	0.803680	2.506785	0.508900	2048	0.031250	relu	xent	sp
18	0.559320	0.824360	2.735307	0.502000	2048	0.031250	relu	xent	sp
19	0.590223	0.818760	2.887850	0.498000	2048	0.031250	relu	xent	sp
20	0.589740	0.822620	2.933345	0.497000	2048	0.031250	relu	xent	sp
1	1.840975	0.349620	1.834683	0.357300	256	0.062500	relu	xent	sp
2	1.806981	0.373880	1.794336	0.381200	256	0.062500	relu	xent	sp
3	1.795234	0.380460	1.861486	0.361800	256	0.062500	relu	xent	sp
4	1.779943	0.396280	1.949848	0.364400	256	0.062500	relu	xent	sp
5	1.778706	0.396980	1.842837	0.379400	256	0.062500	relu	xent	sp
6	1.773142	0.396200	1.915224	0.371700	256	0.062500	relu	xent	sp
7	1.761334	0.405080	1.849396	0.380900	256	0.062500	relu	xent	sp
8	1.743354	0.413680	1.883071	0.384500	256	0.062500	relu	xent	sp
9	1.736929	0.418500	1.851106	0.383800	256	0.062500	relu	xent	sp
10	1.731803	0.422400	1.887820	0.372800	256	0.062500	relu	xent	sp
11	1.736857	0.418580	1.861772	0.379300	256	0.062500	relu	xent	sp
12	1.720724	0.427960	1.905056	0.381300	256	0.062500	relu	xent	sp
13	1.722398	0.425520	1.932542	0.356300	256	0.062500	relu	xent	sp
14	1.726268	0.423960	1.965489	0.382400	256	0.062500	relu	xent	sp
15	1.727966	0.424960	1.994256	0.365400	256	0.062500	relu	xent	sp
16	1.708546	0.432660	1.939154	0.373100	256	0.062500	relu	xent	sp
17	1.690558	0.440720	1.990506	0.356700	256	0.062500	relu	xent	sp
18	1.694329	0.438960	1.989646	0.393600	256	0.062500	relu	xent	sp
19	1.688230	0.440500	2.022365	0.386000	256	0.062500	relu	xent	sp
20	1.664402	0.447440	2.073466	0.375700	256	0.062500	relu	xent	sp
1	1.795654	0.367300	1.751878	0.378400	2048	0.062500	relu	xent	sp
2	1.715072	0.408300	1.744604	0.383700	2048	0.062500	relu	xent	sp
3	1.681587	0.420220	1.730749	0.413100	2048	0.062500	relu	xent	sp
4	1.656984	0.431820	1.749868	0.403900	2048	0.062500	relu	xent	sp
5	1.632821	0.446260	1.908966	0.411700	2048	0.062500	relu	xent	sp
6	1.623538	0.452740	1.757724	0.401600	2048	0.062500	relu	xent	sp
7	1.604918	0.462940	1.962736	0.390500	2048	0.062500	relu	xent	sp
8	1.576171	0.473920	1.864937	0.405900	2048	0.062500	relu	xent	sp
